source,target,relation
apply_daily_living,sustain_habit,prerequisite_for
backpack_squat,full_resistance_workout,prerequisite_for
ball_toss,improve_balance,prerequisite_for
band_tension,add_band_weights,prerequisite_for
band_tension,choose_band,prerequisite_for
be_the_coach,sustain_habit,prerequisite_for
bicep_curl,full_resistance_workout,prerequisite_for
body_part_vocab,categorize_movements,prerequisite_for
body_part_vocab,target_muscle,prerequisite_for
body_part_vocab,where_felt,prerequisite_for
bodyweight_exercise,chair_dip,prerequisite_for
bodyweight_exercise,glute_bridge,prerequisite_for
bodyweight_exercise,lunge,prerequisite_for
bodyweight_exercise,plank,prerequisite_for
bodyweight_exercise,pushup,prerequisite_for
bodyweight_exercise,wall_sit,prerequisite_for
build_endurance,apply_daily_living,prerequisite_for
build_home_gym,full_resistance_workout,prerequisite_for
build_routine,apply_daily_living,prerequisite_for
categorize_movements,build_routine,prerequisite_for
check_messages,message_coach,prerequisite_for
chest_press,full_resistance_workout,prerequisite_for
chest_press,press_transfer,prerequisite_for
choose_band,self_select_intensity,prerequisite_for
choose_weight,self_select_intensity,prerequisite_for
clear_space,build_endurance,prerequisite_for
clear_space,build_routine,prerequisite_for
clear_space,full_resistance_workout,prerequisite_for
clear_space,improve_balance,prerequisite_for
complete_workout,independent_app_use,prerequisite_for
complete_workout,log_reps,prerequisite_for
complete_workout,snapshot_task,prerequisite_for
coord_balance_together,corner_hops,prerequisite_for
core_training,bird_dog,prerequisite_for
core_training,dead_bug,prerequisite_for
core_training,full_resistance_workout,prerequisite_for
core_training,leg_raise,prerequisite_for
core_training,mason_twist,prerequisite_for
core_training,pallof_press,prerequisite_for
core_training,pelvic_tilt,prerequisite_for
core_training,russian_twist,prerequisite_for
core_training,stomach_vacuum,prerequisite_for
core_training,superman,prerequisite_for
corner_hops,improve_balance,prerequisite_for
count_reps,log_reps,prerequisite_for
count_reps,sets_reps,prerequisite_for
difficulty_tiers,bodyweight_exercise,prerequisite_for
difficulty_tiers,self_select_intensity,prerequisite_for
energy_checkin,low_energy_option,prerequisite_for
energy_checkin,rest_vs_push,prerequisite_for
exercise_modification,self_select_intensity,prerequisite_for
exercise_to_daily,functional_strength,prerequisite_for
exercise_to_daily,press_transfer,prerequisite_for
exercise_to_daily,row_transfer,prerequisite_for
exercise_to_daily,squat_transfer,prerequisite_for
find_workout,bonus_tasks,prerequisite_for
find_workout,complete_workout,prerequisite_for
find_workout,timed_task,prerequisite_for
flex_vs_mobility,build_routine,prerequisite_for
forward_fold,build_routine,prerequisite_for
full_resistance_workout,apply_daily_living,prerequisite_for
functional_strength,apply_daily_living,prerequisite_for
gather_materials,build_routine,prerequisite_for
gather_materials,full_resistance_workout,prerequisite_for
glute_bridge,full_resistance_workout,prerequisite_for
hamstring_sweep,build_routine,prerequisite_for
household_weights,backpack_squat,prerequisite_for
household_weights,bottle_press,prerequisite_for
household_weights,build_home_gym,prerequisite_for
household_weights,choose_weight,prerequisite_for
household_weights,detergent_curl,prerequisite_for
household_weights,good_morning,prerequisite_for
household_weights,hip_hinge,prerequisite_for
household_weights,laundry_deadlift,prerequisite_for
improve_balance,apply_daily_living,prerequisite_for
independent_app_use,sustain_habit,prerequisite_for
independent_app_use,what_cardio,prerequisite_for
independent_app_use,what_coordination,prerequisite_for
independent_app_use,what_resistance,prerequisite_for
independent_app_use,what_stretching,prerequisite_for
intensity_judgment,choose_band,prerequisite_for
intensity_judgment,choose_weight,prerequisite_for
intensity_judgment,difficulty_tiers,prerequisite_for
intensity_judgment,exercise_modification,prerequisite_for
interval_training,build_endurance,prerequisite_for
interval_training,jump_rope,prerequisite_for
interval_training,jumping_jacks,prerequisite_for
interval_training,knee_to_elbow,prerequisite_for
interval_training,line_jumps,prerequisite_for
interval_training,speed_march,prerequisite_for
interval_training,squat_punch,prerequisite_for
interval_training,star_jumps,prerequisite_for
jumping_jacks,build_endurance,prerequisite_for
listen_to_body,intensity_judgment,prerequisite_for
listen_to_body,low_energy_option,prerequisite_for
log_reps,independent_app_use,prerequisite_for
low_energy_option,sustain_habit,prerequisite_for
message_coach,independent_app_use,prerequisite_for
open_app,check_messages,prerequisite_for
open_app,find_calendar,prerequisite_for
open_app,find_workout,prerequisite_for
partner_workout,sustain_habit,prerequisite_for
press_transfer,apply_daily_living,prerequisite_for
progressive_overload,choose_weight,prerequisite_for
pushup,full_resistance_workout,prerequisite_for
reflection,sustain_habit,prerequisite_for
rest_vs_push,sustain_habit,prerequisite_for
row,full_resistance_workout,prerequisite_for
row,row_transfer,prerequisite_for
row_transfer,apply_daily_living,prerequisite_for
safe_stretch_rules,build_routine,prerequisite_for
safety_check,full_resistance_workout,prerequisite_for
session_timing,build_routine,prerequisite_for
sets_reps,full_resistance_workout,prerequisite_for
shoulder_press,full_resistance_workout,prerequisite_for
shoulder_press,press_transfer,prerequisite_for
single_leg_stand,improve_balance,prerequisite_for
snapshot_task,independent_app_use,prerequisite_for
squat,full_resistance_workout,prerequisite_for
squat,squat_transfer,prerequisite_for
squat_transfer,apply_daily_living,prerequisite_for
static_vs_dynamic,categorize_movements,prerequisite_for
static_vs_dynamic,why_cooldown,prerequisite_for
static_vs_dynamic,why_warmup,prerequisite_for
target_muscle,exercise_to_daily,prerequisite_for
timed_task,independent_app_use,prerequisite_for
what_balance,side_plank,prerequisite_for
what_balance,single_leg_stand,prerequisite_for
what_cardio,cardio_benefits,prerequisite_for
what_cardio,interval_training,prerequisite_for
what_coordination,ball_toss,prerequisite_for
what_coordination,coord_balance_together,prerequisite_for
what_mobility,flex_vs_mobility,prerequisite_for
what_mobility,heel_slides,prerequisite_for
what_mobility,heel_walk,prerequisite_for
what_mobility,knee_hugs,prerequisite_for
what_mobility,neck_circles,prerequisite_for
what_mobility,toe_walk,prerequisite_for
what_mobility,yoga_flow,prerequisite_for
what_resistance,benefits_resistance,prerequisite_for
what_resistance,bodyweight_exercise,prerequisite_for
what_resistance,core_training,prerequisite_for
what_resistance,household_weights,prerequisite_for
what_resistance,why_bands,prerequisite_for
what_stretching,static_vs_dynamic,prerequisite_for
what_stretching,what_flexibility,prerequisite_for
what_stretching,what_mobility,prerequisite_for
where_felt,target_muscle,prerequisite_for
why_bands,band_tension,prerequisite_for
why_bands,bicep_curl,prerequisite_for
why_bands,calf_raise,prerequisite_for
why_bands,chest_press,prerequisite_for
why_bands,choose_band,prerequisite_for
why_bands,lateral_raise,prerequisite_for
why_bands,row,prerequisite_for
why_bands,shoulder_press,prerequisite_for
why_bands,squat,prerequisite_for
why_cooldown,chest_opener,prerequisite_for
why_cooldown,childs_pose,prerequisite_for
why_cooldown,figure_4,prerequisite_for
why_cooldown,forward_fold,prerequisite_for
why_cooldown,overhead_reach,prerequisite_for
why_cooldown,pretzel,prerequisite_for
why_cooldown,quad_stretch,prerequisite_for
why_cooldown,rear_delt_stretch,prerequisite_for
why_cooldown,side_body_stretch,prerequisite_for
why_cooldown,standing_calf_stretch,prerequisite_for
why_cooldown,standing_wall_stretch,prerequisite_for
why_cooldown,upper_back_hug,prerequisite_for
why_warmup,arm_circles,prerequisite_for
why_warmup,cat_cow,prerequisite_for
why_warmup,clam_shell,prerequisite_for
why_warmup,hamstring_sweep,prerequisite_for
why_warmup,quad_pull,prerequisite_for
why_warmup,session_timing,prerequisite_for
why_warmup,wall_slide,prerequisite_for
yoga_flow,build_routine,prerequisite_for
